,Date,Name,Split,Amount
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,LinkedIn,2065 · AmEx Starwood XXX4-98000,26.95
,08/23/2017,Indeed,2063 · Fidelity Visa Signature Card,502.19
,08/23/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/23/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/23/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/23/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/23/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,Indeed,2063 · Fidelity Visa Signature Card,502.05
,08/24/2017,Indeed,2063 · Fidelity Visa Signature Card,500.73
,08/24/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/24/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/24/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/24/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/24/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
