AIdent,Hours_Worked
185966,373.25
185967,9
185969,276.5
185969,65.75
185969,30
185970,13.75
185972,4
185973,19
185973,24.55
185974,173.1
185974,29.8
185974,24
185974,184.01
185975,16
185976,30
185976,7.5
185985,12.25
185985,3.5
185985,15.25
185986,936
185990,25
185997,438
186002,23.5
186003,16
186004,10
186005,1098
186005,108
186006,673.42
186007,772.5
186008,725.75
186016,567.63
186016,73.08
186018,14.5
186018,197.55
186018,40.11
186019,14.05
186020,27.93
186024,59.75
186024,91
186026,10.35
186028,49.98
186032,71
186032,64.17
186033,5.5
186033,877
186040,40.25
186040,4.02
186040,5.75
186041,48.25
186041,4.03
186041,24
186046,266
186047,35.22
186055,110.43
186059,139.59
186061,10
186063,240.75
186065,6.5
186067,46.75
186067,345.14
186067,75.44
186067,83.32
186067,75.7
186067,56.5
186067,13
186074,32
186074,167
186074,16.25
186074,8
186074,56.5
186074,174.45
186075,20.5
186076,400.29
186077,154.7
186078,300.75
186079,8
186080,8
186080,24
186081,618.5
186083,48
186083,16
186085,153
186086,32
186087,548.75
186089,48
186089,16
186097,8
186098,12.73
186100,237.73
186100,16
186101,100.12
186104,48.25
186105,48.25
186105,18.5
186105,47.22
186106,53.65
186106,16
186107,39.74
186117,150.25
186118,6
186118,57.18
186118,147.2
186119,6
186119,21.82
186121,235.82
186121,376.41
186123,164
186124,464.5
186124,46.63
186131,37.3
186131,12
186131,74.25
186135,8
186135,28.51
186135,0.78
186135,11.25
186137,82.25
186137,31.46
186137,68.5
186137,18.66
186138,82.5
186138,31.09
186138,207
186138,18.66
186141,6.85
186141,31.16
186143,265.64
186143,79.65
186148,70
186148,82.06
186149,16
186151,65.42
186153,1
186153,40
186153,44.15
186153,88.5
186156,16
186156,144.25
186156,240.25
186156,162.25
186161,882
186165,32
186166,69.23
186167,16
186169,100.17
186169,136.87
186169,41.75
186172,39
186173,164.82
186173,415.35
186173,224.65
186179,219.5
186180,15
186183,849.2
186184,302
186188,32
186189,312.25
186189,646.75
186192,10
186192,376
186193,655.25
186204,588.5
186211,4
186211,629
186216,58.75
186216,6.25
186216,13.25
186216,10.25
186222,31.25
186222,45.5
186226,8
186226,67.25
186226,48.75
186226,139.79
186226,15.01
186226,56.83
186227,187.42
186227,98.52
186228,39
186231,105.3
186232,44.5
186234,65.22
186235,1
186238,31.5
186238,1.5
186240,134.84
186240,357.24
186240,267.38
186242,62
186242,23.95
186242,179.31
186242,230.3
186242,5
186242,41.75
186243,327.5
186246,164
186246,104
186246,617
186247,298.75
