,Item_ID,AIdent,Branch,How_Heard,Profit
284,669069,185261,07-Columbus East,Flyer,136.64
285,666982,185261,07-Columbus East,Flyer,313.495
286,665650,185261,07-Columbus East,Flyer,360.19
287,672875,185261,07-Columbus East,Flyer,109.335
288,671457,185363,08-Columbus West,Friend/Relative Referral,479.704
289,664489,185363,08-Columbus West,Friend/Relative Referral,25.515
290,667009,185849,07-Columbus East,Walk-In,175.68
291,665465,185849,07-Columbus East,Walk-In,311.04
292,666016,185849,07-Columbus East,Walk-In,195.426
293,666806,185849,07-Columbus East,Walk-In,25.803
294,670070,186242,07-Columbus East,Friend/Relative Referral,1123.864
295,666991,186242,07-Columbus East,Friend/Relative Referral,815.8605
296,666453,186242,07-Columbus East,Friend/Relative Referral,95.321
297,676105,186242,07-Columbus East,Friend/Relative Referral,147.3775
298,675973,186242,07-Columbus East,Friend/Relative Referral,17.6
299,665658,186242,07-Columbus East,Friend/Relative Referral,186
300,669064,186294,07-Columbus East,Friend/Relative Referral,136.64
301,672874,186294,07-Columbus East,Friend/Relative Referral,109.335
302,667008,186377,07-Columbus East,Indeed,1220.8784
303,665848,186377,07-Columbus East,Indeed,268.0128
304,666810,186377,07-Columbus East,Indeed,25.5069
305,667010,186503,08-Columbus West,Walk-In,57.096
306,666023,186503,08-Columbus West,Walk-In,232.3539
307,667852,186503,08-Columbus West,Walk-In,33.84
308,671560,186503,08-Columbus West,Walk-In,843.885
309,670278,186703,07-Columbus East,Friend/Relative Referral,542.656
310,678110,186703,07-Columbus East,Friend/Relative Referral,95.095
311,667023,186950,07-Columbus East,Friend/Relative Referral,154.7936
312,666463,186950,07-Columbus East,Friend/Relative Referral,99.4473
313,672884,186950,07-Columbus East,Friend/Relative Referral,203.895
314,668223,186950,07-Columbus East,Friend/Relative Referral,236.72
315,667793,187076,07-Columbus East,Indeed,620.1504
316,671378,187076,07-Columbus East,Indeed,1061.4
317,666555,187076,07-Columbus East,Indeed,14
318,666736,207215,07-Columbus East,Walk-In,577.6456
319,666933,207248,07-Columbus East,Friend/Relative Referral,341.112
320,667786,207763,07-Columbus East,Friend/Relative Referral,437.6384
321,670137,207763,07-Columbus East,Friend/Relative Referral,1050.595
322,674904,207763,07-Columbus East,Friend/Relative Referral,476.207
323,667790,207764,07-Columbus East,Friend/Relative Referral,631.3744
324,670133,207764,07-Columbus East,Friend/Relative Referral,792.519
325,674902,207764,07-Columbus East,Friend/Relative Referral,734.31
326,667794,207872,07-Columbus East,Friend/Relative Referral,434.6128
327,668395,207964,07-Columbus East,Indeed,810.08
328,675204,207964,07-Columbus East,Indeed,54.0796
329,668394,207965,07-Columbus East,Walk-In,254.736
330,672909,207965,07-Columbus East,Walk-In,88.8
331,668287,208043,07-Columbus East,,252.1984
332,669074,208294,07-Columbus East,Friend/Relative Referral,1728.496
333,669071,208389,07-Columbus East,Friend/Relative Referral,409.432
334,672272,208389,07-Columbus East,Friend/Relative Referral,259.8315
335,677338,208389,07-Columbus East,Friend/Relative Referral,60.8
336,674968,208389,07-Columbus East,Friend/Relative Referral,304.56
337,677172,208389,07-Columbus East,Friend/Relative Referral,81.4464
338,669060,208452,07-Columbus East,Walk-In,142.496
339,668543,208463,07-Columbus East,Friend/Relative Referral,111.264
340,670271,208463,07-Columbus East,Friend/Relative Referral,733.915
341,669118,208576,07-Columbus East,Friend/Relative Referral,131.76
342,671380,208576,07-Columbus East,Friend/Relative Referral,920.856
343,675992,208576,07-Columbus East,Friend/Relative Referral,60.2624
344,670053,208782,07-Columbus East,Friend/Relative Referral,896.5536
345,669120,208798,07-Columbus East,Indeed,1301.5448
346,674915,208798,07-Columbus East,Indeed,187.389
347,669121,208799,07-Columbus East,Indeed,1320.5768
348,674916,208799,07-Columbus East,Indeed,187.389
349,670272,209249,07-Columbus East,Friend/Relative Referral,415.288
350,675982,209249,07-Columbus East,Friend/Relative Referral,107.888
351,670286,209317,07-Columbus East,Friend/Relative Referral,481.168
352,670276,209406,07-Columbus East,Friend/Relative Referral,798.368
353,671454,210113,07-Columbus East,Walk-In,538.752
354,671455,210114,07-Columbus East,Walk-In,539.24
355,671460,210224,08-Columbus West,Friend/Relative Referral,969.656
356,673121,221132,07-Columbus East,Friend/Relative Referral,907.192
357,675693,221132,07-Columbus East,Friend/Relative Referral,104.302
358,676848,221132,07-Columbus East,Friend/Relative Referral,401.7956
359,675741,221466,03-Independence,Friend/Relative Referral,1614.5136
360,673855,221466,03-Independence,Friend/Relative Referral,894.7223
361,665075,184649,07-Columbus East,,2488.8
